Model,Error_Type,n_estimators,max_depth,max_features,RÂ²,RMSE,MAE
Random Forest,Validation,300,,0.5,0.6371907055346812,0.516344448541086,0.38617632240888927
Random Forest,Validation,300,,1.0,0.6367085158150803,0.5166874570010934,0.3858312769644246
Random Forest,Validation,300,20,0.75,0.6359937898225562,0.5171954629938799,0.387916571158577
Random Forest,Validation,100,20,0.5,0.6309549965522678,0.5207628256292474,0.39020700329470476
Random Forest,Validation,300,20,sqrt,0.625505745845468,0.5245934808543555,0.39630673813585876
Random Forest,Validation,100,20,sqrt,0.6244443206099729,0.525336379798611,0.3963006542372161
Random Forest,Validation,500,15,0.5,0.624398280478971,0.525368579836913,0.398032611860898
Random Forest,Validation,300,15,0.75,0.623464280818389,0.5260213848950325,0.3985716865196987
Random Forest,Validation,500,15,0.75,0.6231009762074957,0.5262750924576561,0.3990160926630868
Random Forest,Validation,300,15,1.0,0.6217087819271379,0.527246177259059,0.39925758769650593
Random Forest,Validation,100,15,0.75,0.620333742994977,0.5282035434033671,0.39978947826478645
Random Forest,Validation,300,,log2,0.6199444761479302,0.528474254124021,0.399078154341588
Random Forest,Validation,500,,log2,0.6195189920385057,0.5287699931473132,0.3997830832933224
Random Forest,Validation,100,15,1.0,0.6182186806987079,0.529672770367141,0.4004955801591211
Random Forest,Validation,500,20,log2,0.6153670720695685,0.5316472115417991,0.4026639763547791
Random Forest,Validation,100,,log2,0.6109273821083643,0.5347067216163413,0.40240641807462646
Random Forest,Validation,300,15,sqrt,0.6105909763935772,0.5349378346825634,0.40814413462533883
Random Forest,Validation,100,20,log2,0.6101877623809995,0.535214714019402,0.40357479500539434
Random Forest,Validation,100,15,sqrt,0.6048373279392063,0.5388752863574349,0.41033574719396965
Random Forest,Validation,500,15,log2,0.6011496633561262,0.541383844009374,0.41499190412954273
Random Forest,Validation,100,15,log2,0.5994707492640349,0.5425220935898627,0.41500861913347
Random Forest,Validation,500,10,1.0,0.5758012761177045,0.5583223184905921,0.43458214632610304
Random Forest,Validation,500,10,0.75,0.5751610326644228,0.558743497776753,0.4346251891019378
Random Forest,Validation,300,10,0.75,0.5746473126461397,0.559081215149777,0.43451749478054935
Random Forest,Validation,300,10,1.0,0.5746131103503858,0.5591036923519452,0.43488565384479044
Random Forest,Validation,500,10,0.5,0.5746122406215959,0.559104263912025,0.43553602028572025
Random Forest,Validation,300,10,0.5,0.5739020964199346,0.5595707548647384,0.43584223638566316
Random Forest,Validation,100,10,1.0,0.570720312913774,0.561656099097523,0.4366512696577498
Random Forest,Validation,100,10,0.75,0.5701208880175123,0.56204809668498,0.43607917544826835
Random Forest,Validation,100,10,sqrt,0.5507183165951597,0.5745921211391001,0.45235821244427676
Random Forest,Validation,500,10,log2,0.5364983436748958,0.5836143409864473,0.46128400924747176
Random Forest,Validation,300,7,0.75,0.5011932275321418,0.6054335458002739,0.4831325938104382
Random Forest,Validation,100,7,0.5,0.49844912109882356,0.6070966100333368,0.48600233520967767
Random Forest,Validation,100,7,1.0,0.4975625355759802,0.6076329518448952,0.48465225067224627
Random Forest,Validation,100,7,0.75,0.4971069054532459,0.6079084021830066,0.4849795922236791
Random Forest,Validation,300,7,sqrt,0.46654742240650915,0.6261065092387816,0.5033688684200824
Random Forest,Validation,500,7,sqrt,0.46537558499037035,0.6267938173323765,0.5040240355501421
Random Forest,Validation,500,7,log2,0.44592032598306497,0.6380965834237834,0.5145321631791449
Random Forest,Validation,100,7,log2,0.44566728798253286,0.6382422702817706,0.5134043436709906
Random Forest,Validation,300,7,log2,0.44520315481699446,0.6385094089675046,0.5146197670729235
Random Forest,Validation,500,5,1.0,0.4214549093425559,0.6520320089788656,0.528646323143419
Random Forest,Validation,300,5,1.0,0.42050374547411873,0.6525677793103121,0.5289591301192585
Random Forest,Validation,500,5,0.75,0.4200162885099161,0.6528421830188902,0.5292839359148851
Random Forest,Validation,100,5,1.0,0.41974970670094125,0.6529922009012503,0.5295118537301677
Random Forest,Validation,300,5,0.5,0.41665132939466243,0.6547332793392083,0.5310998586517669
Random Forest,Validation,500,5,0.5,0.41656246772643746,0.6547831452932034,0.5311011667352427
Random Forest,Validation,100,5,0.5,0.4134382429633575,0.6565339397808282,0.5322675344020945
Random Forest,Validation,500,5,log2,0.37016221534287674,0.680322235174191,0.5558590763341454
Random Forest,Validation,300,5,log2,0.3689623716221506,0.6809699352624184,0.5563587828397036
Random Forest,Validation,100,5,log2,0.365623928432803,0.6827688617404503,0.5573783257490698
Random Forest,Train,300,,1.0,0.9460630581080317,0.19816834355693394,0.14660744930810723
Random Forest,Train,300,,0.5,0.9458395444817359,0.1985785219124323,0.14716548687458084
Random Forest,Train,500,,log2,0.9446812703522134,0.20069068659569758,0.15019449878684077
Random Forest,Train,300,,log2,0.9443801698211917,0.2012361263412184,0.1506099819311496
Random Forest,Train,100,,log2,0.9429163871674088,0.20386695936226823,0.1518882227831209
Random Forest,Train,300,20,0.75,0.9368315270907391,0.2144575343830509,0.16053599696630397
Random Forest,Train,300,20,sqrt,0.9366523191784156,0.21476152516962987,0.1616494976670614
Random Forest,Train,100,20,0.5,0.9354370529723178,0.2168117388552373,0.16166065596606843
Random Forest,Train,100,20,sqrt,0.9348511900359631,0.21779322366424994,0.16350107087667254
Random Forest,Train,500,20,log2,0.934479228440124,0.2184140747055217,0.16520354426693734
Random Forest,Train,100,20,log2,0.9310692295927613,0.2240256189112377,0.16824296423892604
Random Forest,Train,300,15,1.0,0.8975438297476008,0.2731241977713856,0.20300721704001715
Random Forest,Train,500,15,0.75,0.8960295362851088,0.2751351707041069,0.20468121251209823
Random Forest,Train,300,15,0.75,0.8956442738838766,0.2756444558378436,0.20499924211552858
Random Forest,Train,500,15,0.5,0.894832961038081,0.27671387923055224,0.2060796448758318
Random Forest,Train,100,15,1.0,0.8922928625511516,0.28003567491906733,0.20751771487534815
Random Forest,Train,100,15,0.75,0.891967917561247,0.28045778093146395,0.20830377377435963
Random Forest,Train,300,15,sqrt,0.888157118913241,0.28536144310567857,0.2156465555039735
Random Forest,Train,100,15,sqrt,0.8866673086720676,0.2872557433523287,0.21663245365539247
Random Forest,Train,500,15,log2,0.882571685996566,0.2924001104505771,0.22218589573487682
Random Forest,Train,100,15,log2,0.8789543924925838,0.296869538138673,0.22532446545682502
Random Forest,Train,300,10,1.0,0.7502687547345525,0.4264101766663183,0.3224685136837762
Random Forest,Train,500,10,1.0,0.7502313147280084,0.426442139429863,0.3223646673989988
Random Forest,Train,500,10,0.75,0.7476139388769625,0.4286707023577181,0.3242928834546901
Random Forest,Train,300,10,0.75,0.7474919384484024,0.4287742970067921,0.32448862052554095
Random Forest,Train,100,10,1.0,0.7447253404232848,0.43111682525446754,0.3250808756609334
Random Forest,Train,500,10,0.5,0.7434476897283465,0.43219434940376755,0.3280296823559755
Random Forest,Train,100,10,0.75,0.743261945118287,0.43235077607117567,0.3263366986322522
Random Forest,Train,300,10,0.5,0.7428308943573907,0.43271357186351894,0.3283555719719015
Random Forest,Train,100,10,sqrt,0.7129620699599812,0.4571521476129838,0.3530898590151514
Random Forest,Train,500,10,log2,0.6957960031426328,0.4706234655195897,0.36711415657635355
Random Forest,Train,100,7,1.0,0.5741142557367558,0.5568492911515862,0.4355645119707262
Random Forest,Train,300,7,0.75,0.5727460688821004,0.5577430319945839,0.43648433061855285
Random Forest,Train,100,7,0.75,0.5715103963434276,0.5585489814695987,0.43664427197188627
Random Forest,Train,100,7,0.5,0.5651505948277866,0.5626788093077464,0.44124731148597085
Random Forest,Train,300,7,sqrt,0.5294048804417337,0.5853489303095933,0.46523981866982217
Random Forest,Train,500,7,sqrt,0.5286836640115855,0.5857973004948112,0.4657087725518211
Random Forest,Train,500,7,log2,0.5077200735625778,0.5986833541030957,0.47852371707250063
Random Forest,Train,100,7,log2,0.5064531428896222,0.5994532442394399,0.4787133360904321
Random Forest,Train,300,7,log2,0.5054798517131684,0.6000440242090094,0.4793814811707084
Random Forest,Train,500,5,1.0,0.4423856900396048,0.6371740422578425,0.5088502890397573
Random Forest,Train,100,5,1.0,0.44196360636247056,0.6374151496718751,0.5089485628372099
Random Forest,Train,300,5,1.0,0.44194757987192934,0.6374243027079839,0.5090534819663122
Random Forest,Train,500,5,0.75,0.43925662170914115,0.6389593012529932,0.5106919113657317
Random Forest,Train,500,5,0.5,0.4344083193017696,0.6417156427725424,0.5136901004154267
Random Forest,Train,300,5,0.5,0.4332757788262007,0.6423578069940156,0.5143400638243718
Random Forest,Train,100,5,0.5,0.432050139203779,0.643052037046718,0.515286989979422
Random Forest,Train,500,5,log2,0.3901267862817581,0.6663630374527713,0.5409437157191069
Random Forest,Train,300,5,log2,0.3894948812196596,0.6667081658754707,0.5411698492413201
Random Forest,Train,100,5,log2,0.38705333818251486,0.668039991275418,0.5421260102298835
