Model,Train_set,Test_set,RÂ²,RMSE,MAE,MAPE
XGBoost,plus,plus,0.7230957871865822,0.4504149086220961,0.32479438146592865,797.278294028101
LightGBM,plus,plus,0.7107656759221326,0.4603338282022682,0.33259139597053816,867.3969741456758
GBR,plus,plus,0.7100784127115449,0.4608804140768546,0.33002469354999386,904.8948210251026
ExtraRandomTrees,plus,plus,0.6867953053749389,0.4790293320780469,0.3509026908772779,909.6080274941477
GBR,dft,dft,0.6772790517545518,0.48625217174649776,0.34932065887090963,884.2881893539795
XGBoost,dft,dft,0.6678527103272098,0.49330251771953953,0.354558088253029,882.8186549979642
RandomForest,plus,plus,0.65925271211145,0.4996480300522604,0.3725489359458153,921.1917516483602
ExtraRandomTrees,dft,dft,0.6548987093957266,0.5028301001300578,0.36788512927431066,845.4028906171731
LightGBM,dft,dft,0.6541391431561872,0.5033831592631318,0.3626846262744219,868.2134423859745
KernelRidge,plus,plus,0.6378551328178098,0.5150971448605348,0.3783531248958631,873.2622223868027
RandomForest,dft,dft,0.6326032081914613,0.5188187408718158,0.3889655554518858,903.5057566308041
SVR,plus,plus,0.6209524152560232,0.526980860634644,0.3745300776960161,971.1172233559188
KernelRidge,dft,dft,0.5696653627830353,0.561501766970654,0.4215747119657352,949.0269847240882
SVR,dft,dft,0.5620249261006359,0.5664644670906394,0.4104577701278943,1115.5824173487206
Dummy,dft,dft,-0.00016154001506496485,0.8560183030392349,0.7320512638396205,1486.0879028780635
Dummy,plus,plus,-0.00016154001506496485,0.8560183030392349,0.7320512638396205,1486.0879028780635
